method_code	target_scope	target_name	amplicon_size	actual_length	source	status	accession
QT-EVE-ZM-017	event-specific	LY038	111	0		SKIPPED	EUginius
QT-EVE-ZM-018	event-specific	MON89034	77	0		SKIPPED	EUginius
QT-EVE-ZM-019	event-specific	3272	95	0		SKIPPED	EUginius
QT-EVE-ZM-020	event-specific	MON810	92	0		SKIPPED	EUginius
QT-EVE-ZM-021	event-specific	98140	80	0		SKIPPED	EUginius
QT-EVE-ZM-022	event-specific	MIR162	92	0		SKIPPED	EUginius
QT-EVE-ZM-023	event-specific	Bt176	82	0		SKIPPED	EUginius
QT-EVE-ZM-024	event-specific	MON87411	109	0		SKIPPED	EUginius
QT-EVE-ZM-025	event-specific	MON87403	88	0		SKIPPED	EUginius
QT-EVE-ZM-026	event-specific	4114	80	0		SKIPPED	EUginius
QT-EVE-ZM-027	event-specific	MZHG0JG	81	0		SKIPPED	EUginius
QT-EVE-ZM-028	event-specific	MZIR098	73	0		SKIPPED	EUginius
QT-EVE-ZM-029	event-specific	MON87419	97	97	euginius_amplicon	OK_CLEAN	EUginius
QT-EVE-ZM-030	event-specific	MON87429	116	0		SKIPPED	EUginius
QT-EVE-ZM-031	event-specific	DP915635	74	0		SKIPPED	EUginius
QT-EVE-ZM-033	event-specific	MON95379	87	0		SKIPPED	EUginius
QT-EVE-ZM-034	event-specific	DP202216	105	0		SKIPPED	EUginius
QT-EVE-ZM-035	event-specific	DP23211	75	0		SKIPPED	EUginius
QT-EVE-ZM-036	event-specific	MON95275	85	0		SKIPPED	EUginius
QT-EVE-ZM-037	event-specific	MON94804	103	0		SKIPPED	EUginius
QT-EVE-ZM-038	event-specific	DP910521	108	0		SKIPPED	EUginius
QT-EVE-ZM-039	event-specific	DP51291	80	0		SKIPPED	EUginius
QT-EVE-ZM-040	event-specific	DAS1131	98	0		SKIPPED	EUginius
QT-TAX-BN-001	taxon-specific	Brassica napus	126	0		SKIPPED	EUginius
QT-TAX-BN-002	taxon-specific	Brassica napus	78	0		SKIPPED	EUginius
QT-TAX-BN-003	taxon-specific	Brassica napus	101	0		SKIPPED	EUginius
QT-TAX-BN-012	taxon-specific	Brassica napus	101	0		SKIPPED	EUginius
QT-TAX-BV-001	taxon-specific	Beta vulgaris	118	118	euginius_amplicon	OK_CLEAN	EUginius
QT-TAX-BV-013	taxon-specific	Beta vulgaris	118	0		SKIPPED	EUginius
QT-TAX-CP-001	taxon-specific	Carica papaya	74	74	euginius_amplicon	OK_CLEAN	EUginius
QT-TAX-FatA primer1/FatA primer2	taxon-specific	Brassica napus	76	76	euginius_amplicon	OK_CLEAN	EUginius
QT-TAX-GH-015	taxon-specific	Gossypium hirsutum	76	0		SKIPPED	EUginius
QT-TAX-GH-016	taxon-specific	Gossypium hirsutum	123	0		SKIPPED	EUginius
QT-TAX-GH-018	taxon-specific	Gossypium hirsutum	73	0		SKIPPED	EUginius
QT-TAX-GH-019	taxon-specific	Gossypium hirsutum	73	0		SKIPPED	EUginius
QT-TAX-GH-020	taxon-specific	Gossypium hirsutum	73	0		SKIPPED	EUginius
QT-TAX-GH-021	taxon-specific	Gossypium hirsutum	115	0		SKIPPED	EUginius
QT-TAX-GM-001	taxon-specific	Glycine max	81	0		SKIPPED	EUginius
QT-TAX-GM-002	taxon-specific	Glycine max	74	0		SKIPPED	EUginius
QT-TAX-GM-003	taxon-specific	Glycine max	102	0		SKIPPED	EUginius
QT-TAX-GM-004	taxon-specific	Glycine max	70	0		SKIPPED	EUginius
QT-TAX-GM-005	taxon-specific	Glycine max	74	0		SKIPPED	EUginius
QT-TAX-GM-007	taxon-specific	Glycine max	118	0		SKIPPED	EUginius
QT-TAX-GM-009	taxon-specific	Glycine max	105	0		SKIPPED	EUginius
QT-TAX-GM-020	taxon-specific	Glycine max	102	0		SKIPPED	EUginius
QT-TAX-OS-002	taxon-specific	Oryza sativa	124	124	euginius_amplicon	OK_CLEAN	EUginius
QT-TAX-OS-003	taxon-specific	Oryza sativa	81	0		SKIPPED	EUginius
QT-TAX-OS-017	taxon-specific	Oryza sativa	68	0		SKIPPED	EUginius
QT-TAX-SL-002	taxon-specific	Solanum lycopersicum	92	0		SKIPPED	EUginius
QT-TAX-SPS primer f/SPS primer r	taxon-specific	Oryza sativa	81	81	euginius_amplicon	OK_CLEAN	EUginius
QT-TAX-ST-010	taxon-specific	Solanum tuberosum	89	0		SKIPPED	EUginius
QT-TAX-ZM-001	taxon-specific	Zea mays	135	0		SKIPPED	EUginius
QT-TAX-ZM-002	taxon-specific	Zea mays	79	0		SKIPPED	EUginius
QT-TAX-ZM-003	taxon-specific	Zea mays	135	135	euginius_amplicon	OK_CLEAN	EUginius
QT-TAX-ZM-004	taxon-specific	Zea mays	69	69	euginius_amplicon	OK_CLEAN	EUginius
QT-TAX-ZM-005	taxon-specific	Zea mays	79	0		SKIPPED	EUginius
QT-TAX-ZM-006	taxon-specific	Zea mays	151	0		SKIPPED	EUginius
QT-TAX-ZM-008	taxon-specific	Zea mays	79	0		SKIPPED	EUginius
QT-TAX-ZM-011	taxon-specific	Zea mays	70	0		SKIPPED	EUginius
QT-TAX-ZM-014	taxon-specific	Zea mays	135	0		SKIPPED	EUginius
QT-TAX-wx012-5'/wx012-3'	taxon-specific	Triticum aestivum	102	101	euginius_amplicon	OK_CLEAN	EUginius
QT-TAX-zSSIIb-3F/zSSIIb-4R	taxon-specific	Zea mays	88	88	euginius_amplicon	OK_CLEAN	EUginius
