method_code	target_scope	target_name	amplicon_size	actual_length	source	status	accession
QL-ELE-00-005	element-specific	P-Cauliflower mosaic virus	195	195	local_match:promoter|P-35S-CaMV|Cauliflower_mosaic_virus|V00141.1|functional_35S_promoter_region,_-421_to_+109_relative_to_TSS|canonical_v1	OK_LOCAL	EUginius
QL-ELE-00-006	element-specific	T-nos-RHIRD	180	180	local_match:promoter|P-nos|Agrobacterium_tumefaciens|V00087.1|nopaline_synthase_promoter_region|canonical_v1	OK_LOCAL	EUginius
QL-ELE-00-007	element-specific	T-nos-RHIRD	180	180	local_match:promoter|P-nos|Agrobacterium_tumefaciens|V00087.1|nopaline_synthase_promoter_region|canonical_v1	OK_LOCAL	EUginius
QL-ELE-00-008	element-specific	P-nos-RHIRD	94	94	local_match:promoter|P-ocs|Agrobacterium_tumefaciens|AJ311874.1|octopine_synthase_promoter_region|canonical_v1	OK_LOCAL	EUginius
QL-ELE-00-009	element-specific	T-nos-RHIRD	118	118	local_match:promoter|P-nos|Agrobacterium_tumefaciens|V00087.1|nopaline_synthase_promoter_region|canonical_v1	OK_LOCAL	EUginius
QL-ELE-00-010	element-specific	E-FMV, P-34S FMV	196	196	local_match:promoter|P-FMV|Figwort_mosaic_virus|NC_003554.1|functional_FMV_promoter_region|canonical_v1	OK_LOCAL	EUginius
QL-ELE-00-011	element-specific	T-nos-RHIRD	84	84	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-00-012	element-specific	E-35S-CaMV, P-Cauliflower mosaic virus, P-scp1-SYNTH	82	82	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-00-013	element-specific	T-nos-RHIRD	84	84	local_match:promoter|P-nos|Agrobacterium_tumefaciens|V00087.1|nopaline_synthase_promoter_region|canonical_v1	OK_LOCAL	EUginius
QL-ELE-00-014	element-specific	CS-bar-STRHY	60	60	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-00-015	element-specific	E-FMV, P-34S FMV	78	78	local_match:promoter|P-FMV|Figwort_mosaic_virus|NC_003554.1|functional_FMV_promoter_region|canonical_v1	OK_LOCAL	EUginius
QL-ELE-00-016	element-specific	CS-cry1Ab_1Ac_tr-SYNTH, CS-cry1Ac-BACTU, CS-cry1Ab-BACTU	74	74	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-00-017	element-specific	P-Cauliflower mosaic virus	75	75	local_match:promoter|P-35S-CaMV|Cauliflower_mosaic_virus|V00141.1|functional_35S_promoter_region,_-421_to_+109_relative_to_TSS|canonical_v1	OK_LOCAL	EUginius
QL-ELE-00-018	element-specific	T-nos-RHIRD	69	69	local_match:promoter|P-nos|Agrobacterium_tumefaciens|V00087.1|nopaline_synthase_promoter_region|canonical_v1	OK_LOCAL	EUginius
QL-ELE-00-019	element-specific	CS-CP4epsps-RHIRD	108	0		SKIPPED	EUginius
QL-ELE-00-020	element-specific	CS-cry1Ab-BACTU	73	0		SKIPPED	EUginius
QL-ELE-00-021	element-specific	CS-pat-STRVR	109	0		SKIPPED	EUginius
QL-ELE-00-022	element-specific	CS-bar-STRHY	69	69	local_match:ncbi|X17220.1	OK_LOCAL	EUginius
QL-ELE-00-023	element-specific	T-Cauliflower mosaic virus	137	137	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-00-024	element-specific	T-rbcS_E9-PEA	87	87	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-00-025	element-specific	CS-pat-STRVR	108	108	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-00-026	element-specific	CS-bar-STRHY	60	60	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-AINT 2-5'/AINT 2-3'	element-specific	I-actin	112	112	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-AgroBS1 F/AgroBS1 R	element-specific	V-Flanking Ti-nos-RHIRD	76	76	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-AgroBS2 F/AgroBS2 R	element-specific	V-Flanking Ti-ocs-RHIRD	88	88	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-B'nase-F-n4/BNaseR-n3	element-specific	CS-barnase	102	102	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-BstarF-n2 /BstarR-n2	element-specific	CS-barstar	145	145	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-Cry1Ac-F(/R)-n4/Cry1AcR-n2	element-specific	CS-cry1Ac-BACTU	157	157	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-Cry1F-F2/Cry1Fr-n2	element-specific	CS-cry1F_tr-BACTA	90	90	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-Cry3Bbf-n2/Cry3Bbr-n2	element-specific	CS-cry3Bb1-BACUK	232	232	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-P-FMV-F/P-FMV-R	element-specific	P-34S FMV	79	79	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-P-Rice actin-F/P-Rice actin-R	element-specific	P-act1-ORYSA	95	95	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-P-SSuAra-F/P-SSuAra-R	element-specific	P-rbcS-ARATH	95	95	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-P-TA29-F/P-TA29-R	element-specific	P-ta29-TOBAC	117	117	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-P-Ubi-F/P-Ubi-R	element-specific	P-ubi1-MAIZE	76	76	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-P-nos-F/P-nos-R	element-specific	P-nos-RHIRD	79	0		SKIPPED	EUginius
QL-ELE-PFMV 1-5'/PFMV 1-3'	element-specific	P-34S FMV	110	110	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-Patf-n2/Patr-n2	element-specific	CS-pat-STRVR	144	144	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-RERIO 2206/RERIO 2207	element-specific	CS-DsRed2 fluorescent protein	506	506	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-T-35S-F/T-35S-R	element-specific	T-Cauliflower mosaic virus	118	118	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-T-OCS-F/T-OCS-R	element-specific	T-ocs-RHIRD	85	85	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-T-g7-F/T-g7-R	element-specific	T-transcript 7, T-orf23-RHIRD	97	0		SKIPPED	EUginius
QL-ELE-Vip3A-F/Vip3A-R	element-specific	CS-vip3Aa20-BACTU	97	0		SKIPPED	EUginius
QL-ELE-bar 2-5'/bar 2-3'	element-specific	CS-bar-STRHY	186	186	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-cat-F/R	element-specific	V-chloramphenicol acetyl transferase	96	96	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-cat-F1/R1	element-specific	V-chloramphenicol acetyl transferase	573	573	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-cat-F2/cat-R2	element-specific	V-chloramphenicol acetyl transferase	529	529	euginius_amplicon	OK_CLEAN	EUginius
